Component,Date,Year,Month ,Start,Tide,Transect,Distance (m),Sample,Secchi (m),Salinity (ppt),Conductivity (µS),Conductance (µS),pH,Temp (°C),DO (mg/L),DO (%),Field Cover (%),Depth (m),Substrate,HV,MS,VA,CD,HD,EC,ZP,PPC,PPF,NM,Comments
OPC,2008-08-14,2008,AUG,,,OPCC2,50,1,0.28,0.4,906.0,890.0,,26.1,4.82,66.6,NV,0.89,silt/sand/organic,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-08-14,2008,AUG,,,OPCC2,50,2,0.26,0.4,906.0,890.0,,26.1,4.82,66.6,NV,0.88,silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-08-14,2008,AUG,,,OPCC2,50,3,0.25,0.4,906.0,890.0,,26.1,4.82,66.6,NV,0.87,clay/silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-08-14,2008,AUG,,,OPCC2,60,1,0.25,0.4,906.0,890.0,,26.1,4.82,66.6,NV,0.95,silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-08-14,2008,AUG,,,OPCC2,60,2,0.27,0.4,906.0,890.0,,26.1,4.82,66.6,NV,0.91,silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-08-14,2008,AUG,,,OPCC2,60,3,0.25,0.4,906.0,890.0,,26.1,4.82,66.6,NV,0.89,silt/sand/organic,2,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,11:30:00,Going out,OPC1,10,1,0.35,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,0.73,sand/rocks,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,10,2,0.38,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,0.73,sand/rocks,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,10,3,0.39,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,0.73,sand/rocks,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,20,1,0.35,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.1,rocks/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one dead clam was found
OPC,2008-10-16,2008,OCT ,,,OPC1,20,2,0.38,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.1,rocks/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,20,3,0.44,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1,sand/rocks/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,30,1,0.41,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.1,silt/clay/sand,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,30,2,0.41,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.1,silt/clay/sand,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,30,3,0.41,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.13,silt/sand/organic/rocks,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,40,1,0.39,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1,silt/clay/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,40,2,0.4,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1,silt/clay/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-10-16,2008,OCT ,,,OPC1,40,3,0.41,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1,silt/clay/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,50,1,0.37,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.1,silt/clay/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,50,2,0.4,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1,silt/clay/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,50,3,0.4,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1,silt/clay/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,60,1,0.44,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.1,silt/clay/organic,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-10-16,2008,OCT ,,,OPC1,60,2,0.45,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.11,silt/clay/organic,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC1,60,3,0.5,3.4,5840.0,6230.0,,21.8,7.55,87.5,NV,1.09,silt/clay/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,10:30:00,High   1.6,OPC2,10,1,0.32,2.2,3539.0,4072.0,,18.2,6.83,71.0,15,0.32,sand/organic,3,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Note: A lot of SAV was half dead with green parts or sprigs of live SAV
OPC,2008-10-17,2008,OCT ,,,OPC2,10,2,0.36,2.2,3539.0,4072.0,,18.2,6.83,71.0,15,0.36,sand/organic,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC2,10,3,0.4,2.2,3539.0,4072.0,,18.2,6.83,71.0,15,0.4,sand/rocks,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one dead clam was found
OPC,2008-10-17,2008,OCT ,,,OPC2,20,1,0.39,2.2,3539.0,4072.0,,18.2,6.83,71.0,70,0.39,silt/sand/organic,45,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-10-17,2008,OCT ,,,OPC2,20,2,0.41,2.2,3539.0,4072.0,,18.2,6.83,71.0,70,0.41,silt/organic,50,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC2,20,3,0.41,2.2,3539.0,4072.0,,18.2,6.83,71.0,70,0.41,silt/organic,50,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one dead clam was found
OPC,2008-10-17,2008,OCT ,,,OPC2,30,1,0.38,2.2,3539.0,4072.0,,18.2,6.83,71.0,60,0.38,silt/clay/organic,35,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC2,30,2,0.4,2.2,3539.0,4072.0,,18.2,6.83,71.0,60,0.4,silt/clay/organic,25,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one dead and one live clam was found
OPC,2008-10-17,2008,OCT ,,,OPC2,30,3,0.41,2.2,3539.0,4072.0,,18.2,6.83,71.0,60,0.41,silt/organic,30,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC2,40,1,0.45,2.2,3539.0,4072.0,,18.2,6.83,71.0,NV,0.45,silt/organic,30,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-10-17,2008,OCT ,,,OPC2,40,2,0.45,2.2,3539.0,4072.0,,18.2,6.83,71.0,NV,0.45,silt/organic,25,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC2,40,3,0.5,2.2,3539.0,4072.0,,18.2,6.83,71.0,NV,0.5,silt/organic,35,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,12:39:00,Going out,OPC2,50,1,0.35,3.2,5640.0,6020.0,,21.9,7.29,84.3,NV,0.6,silt/clay/organic,42,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Note:  Wind increased and weather became poor, only completed 50m and 60m on 10/16.  Lots of wind occurred overnight."
OPC,2008-10-16,2008,OCT ,,,OPC2,50,2,0.38,3.2,5640.0,6020.0,,21.9,7.29,84.3,NV,0.62,silt/sand/organic,30,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-10-16,2008,OCT ,,,OPC2,50,3,0.45,3.2,5640.0,6020.0,,21.9,7.29,84.3,NV,0.62,silt/sand/organic,20,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC2,60,1,0.4,3.2,5640.0,6020.0,,21.9,7.29,84.3,NV,0.68,silt/clay/organic,6,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPC2,60,2,0.35,3.2,5640.0,6020.0,,21.9,7.29,84.3,NV,0.69,silt/clay/organic,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one dead clam was found
OPC,2008-10-16,2008,OCT ,,,OPC2,60,3,0.27,3.2,5640.0,6020.0,,21.9,7.29,84.3,NV,0.66,silt/sand,22,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,11:50:00,Going out,OPC3,10,1,0.34,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.34,silt/organic,9,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Note:  Had to paddle to all sites of transect which may have affected the Secchi.  The values should be bottom for all.
OPC,2008-10-17,2008,OCT ,,,OPC3,10,2,0.36,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.36,silt/organic,4,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,10,3,0.3,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.3,silt/sand/organic,9,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,20,1,0.38,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.38,silt/clay/organic,13,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,20,2,0.38,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.38,silt/clay/organic,15,4.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,20,3,0.35,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.35,silt/clay/organic,11,3.0,0.0,2.0,,0.0,0.0,0.0,,0.0,one dead clam was found
OPC,2008-10-17,2008,OCT ,,,OPC3,30,1,0.35,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.35,silt/sand/organic,4,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,30,2,0.35,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.35,silt/sand/organic/debris,2,0.0,0.0,4.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,30,3,0.35,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.35,sand/silt,20,1.5,0.0,10.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,40,1,0.35,1.0,1704.0,1958.0,,18.2,6.27,66.8,20-30,0.35,silt/clay/organic,1,0.0,0.0,4.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,40,2,0.38,1.0,1704.0,1958.0,,18.2,6.27,66.8,20-30,0.38,silt/clay/organic,2,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,40,3,0.35,1.0,1704.0,1958.0,,18.2,6.27,66.8,20-30,0.35,silt/clay/organic,17,4.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,50,1,0.24,1.0,1704.0,1958.0,,18.2,6.27,66.8,35,0.4,silt/clay/organic/debris,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,50,2,0.24,1.0,1704.0,1958.0,,18.2,6.27,66.8,35,0.36,silt/clay,8,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,50,3,0.36,1.0,1704.0,1958.0,,18.2,6.27,66.8,35,0.36,silt/clay/organic,18,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one dead clam was found
OPC,2008-10-17,2008,OCT ,,,OPC3,60,1,0.25,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.38,silt/clay/organic,21,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,60,2,0.24,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.34,silt/clay/organic,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-17,2008,OCT ,,,OPC3,60,3,0.36,1.0,1704.0,1958.0,,18.2,6.27,66.8,NV,0.36,silt/clay/organic,10,0.0,0.0,8.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,09:49:00,High   1.7,OPCC1,10,1,0.35,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.85,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Note: Couldn't see bottom; overcast
OPC,2008-10-16,2008,OCT ,,,OPCC1,10,2,0.36,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.82,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,10,3,0.34,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.84,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,20,1,0.3,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.9,clay/sand,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-10-16,2008,OCT ,,,OPCC1,20,2,0.36,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.95,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,20,3,0.29,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.95,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,30,1,0.35,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.95,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,30,2,0.32,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.95,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,30,3,0.34,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.96,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,40,1,0.3,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,1,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,40,2,0.3,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.98,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,40,3,0.33,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,1,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,one live clam was found
OPC,2008-10-16,2008,OCT ,,,OPCC1,50,1,0.34,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,1.01,silt/clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,50,2,0.36,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,1,slit/clay/sand,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,50,3,0.3,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.99,silt/clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,60,1,0.32,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,0.95,silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,60,2,0.32,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,1,silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC1,60,3,0.4,3.5,6030.0,6410.0,,21.7,5.27,64.8,NV,1,silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,10:38:00,Going out,OPCC2,10,1,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.69,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Note: Possibly use small brown sign (which is sideways) as benchmark when vegetation is sparce
OPC,2008-10-16,2008,OCT ,,,OPCC2,10,2,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.73,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,10,3,0.36,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.69,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,20,1,0.31,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.78,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,20,2,0.37,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.79,clay/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,20,3,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.76,clay/sand/organic,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,30,1,0.39,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.84,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,30,2,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.85,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,30,3,0.36,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.85,sand/organic,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,40,1,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.84,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,40,2,0.34,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.83,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,40,3,0.34,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.79,silt/sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,50,1,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.77,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,50,2,0.34,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.73,sand,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,50,3,0.34,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.75,sand/organic,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,60,1,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.77,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,60,2,0.36,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.8,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2008-10-16,2008,OCT ,,,OPCC2,60,3,0.35,3.4,5750.0,6360.0,,21.3,6.65,72.4,NV,0.81,sand/organic,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,12:29:00,Incoming (high@15:00),OPC1,10,1,0.48,0.1,184.3,286.1,,24.7,6.94,83.7,NV,0.94,sand/clay/rocks,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,10,2,0.45,0.1,184.3,286.1,,24.7,6.94,83.7,NV,0.91,sand/clay/debris,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,10,3,0.49,0.1,184.3,286.1,,24.7,6.94,83.7,NV,0.98,sand/clay/rocks,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,20,1,0.53,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.25,clay/sand/debris,0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,20,2,0.48,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.29,sand/rocks,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,20,3,0.48,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.27,clay/sand/rocks/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,30,1,0.43,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.25,clay/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,30,2,0.44,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.08,clay/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,30,3,0.48,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.19,clay/debris,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,40,1,0.45,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.09,clay/debris,2.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,40,2,0.42,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.1,clay/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,40,3,0.45,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.1,clay/debris,0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,50,1,0.42,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.14,clay/sand/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,50,2,0.48,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.14,clay/debris,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,50,3,0.49,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.3,clay/debris,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,60,1,0.41,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.15,clay/debris,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,60,2,0.51,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.13,clay/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-16,2009,JUN,,,OPC1,60,3,0.48,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.17,clay/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-17,2009,JUN,09:30:00,Outgoing,OPC2,10,1,0.58,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.81,sand/clay/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,live clam
OPC,2009-06-17,2009,JUN,,,OPC2,10,2,0.58,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.81,sand/clay/debris,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,dead clam
OPC,2009-06-17,2009,JUN,,,OPC2,10,3,0.58,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.81,clay/sand,18,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-17,2009,JUN,,,OPC2,20,1,0.64,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.73,clay/silt/debris,26,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,live and dead clams
OPC,2009-06-17,2009,JUN,,,OPC2,20,2,0.67,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.76,clay/silt/debris,12,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-17,2009,JUN,,,OPC2,20,3,0.69,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.79,clay/silt/debris,41.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2 live clams
OPC,2009-06-17,2009,JUN,,,OPC2,30,1,0.465,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.77,clay/silt/debris,20,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-17,2009,JUN,,,OPC2,30,2,0.47,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.77,clay/silt/debris,13,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,dead clam
OPC,2009-06-17,2009,JUN,,,OPC2,30,3,0.44,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.79,clay/silt/debris,11,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2009-06-17,2009,JUN,,,OPC2,40,1,0.53,0.1,212.2,223.3,,22.4,5.09,58.5,NV,0.75,clay/silt/debris,22,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,live clam
